#NAME	CHROM	STRAND	TX_START	TX_END	EXON_START	EXON_END	CDS_START	CDS_END
ENST00000270722.10	chr1	+	3069202	3438621	3069202,3186124,3244086,3385151,3396490,3402790,3404738,3405494,3411383,3414559,3417827,3418666,3425580,3426050,3430871,3431965,3433676,	3069296,3186474,3244137,3385286,3396593,3402998,3404886,3405648,3412800,3414647,3417997,3418744,3425750,3426225,3431108,3432140,3438621,	3069259	3433808
ENST00000447513.7	chr1	-	2403973	2412564	2403973,2406483,2406719,2408451,2410370,2412390,	2405834,2406619,2406895,2408858,2410451,2412564,	2405768	2412502
ENST00000356607.9	chr1	+	10474949	10630758	10474949,10495273,10536212,10599237,10618331,10623018,10624339,10627271,10629530,	10475002,10495321,10536297,10599366,10618417,10623121,10624437,10627363,10630758,	10474966	10629984
ENST00000378486.8	chr1	+	2476288	2505532	2476288,2478475,2479733,2480182,2484447,2486906,2487172,2487597,2489206,2489759,2491191,2494855,2495487,2496606,2496827,2497501,2498522,2498743,2499083,2499640,2502111,2503921,	2476712,2478622,2479977,2480312,2484618,2487000,2487376,2487718,2489378,2489867,2491335,2494948,2495570,2496704,2497010,2497609,2498647,2498828,2499230,2499720,2502409,2505532,	2476588	2505210
ENST00000328089.11	chr1	+	9292893	9369532	9292893,9355742,9367447,	9293071,9356585,9369532,	9355891	9367572
ENST00000377424.9	chr1	-	9035105	9069635	9035105,9037896,9038430,9038827,9039551,9039799,9040063,9041784,9047609,9057447,9058151,9069503,	9037789,9038024,9038506,9038929,9039662,9039987,9040189,9041937,9047734,9057608,9058250,9069635,	9037588	9069536
ENST00000377205.6	chr1	+	9943474	9985498	9943474,9972017,9975591,9981030,9982300,	9943515,9972188,9975775,9981170,9985498,	9972073	9982698
ENST00000294484.7	chr1	+	11479154	11537551	11479154,11500989,11502677,11514389,11515368,11516000,11517462,11519354,11519718,11520686,11523941,11525175,11526650,11529555,11529786,11530906,11531564,11534380,11535010,11535477,11536323,	11479372,11502088,11502897,11514526,11515503,11516161,11517602,11519503,11519880,11520848,11524055,11525312,11526835,11529686,11529959,11531033,11531710,11534540,11535124,11535644,11537551,	11500992	11536683
ENST00000378412.8	chr1	-	2590638	2633016	2590638,2591556,2591931,2592654,2592832,2593813,2594384,2594789,2595275,2596008,2596560,2598206,2598653,2603883,2604146,2605557,2606247,2606973,2609338,2609669,2611280,2612126,2629330,2632865,	2591089,2591633,2592027,2592720,2592966,2593933,2594443,2594893,2595359,2596107,2596689,2598300,2598790,2603973,2604281,2605623,2606366,2607069,2609419,2609831,2611340,2612204,2629521,2633016,	2590992	2629484
ENST00000376008.3	chr1	+	15153746	15220478	15153746,15210489,15214894,15219325,	15153954,15210562,15215431,15220478,	15215087	15219740
ENST00000605895.6	chr1	+	2391840	2405436	2391840,2395783,2397115,2399414,2400856,2402206,2403034,	2391958,2395871,2397220,2399514,2400935,2402342,2405436,	2395790	2403121
